df_paper_title,df_paper_URL,df_paper_Author,df_Author_URL
British Soccer Academy Personnel Perceive Psychological and Technical/Tactical Attributes as the Most Important Contributors to Development,https://pureportal.coventry.ac.uk/en/publications/british-soccer-academy-personnel-perceive-psychological-and-techn,"Mundy, P.",https://pureportal.coventry.ac.uk/en/persons/peter-mundy
British Soccer Academy Personnel Perceive Psychological and Technical/Tactical Attributes as the Most Important Contributors to Development,https://pureportal.coventry.ac.uk/en/publications/british-soccer-academy-personnel-perceive-psychological-and-techn,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
Changes in joint kinematics and dynamic postural stability with free and restricted arm movements in children,https://pureportal.coventry.ac.uk/en/publications/changes-in-joint-kinematics-and-dynamic-postural-stability-with-f,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski
Changes in joint kinematics and dynamic postural stability with free and restricted arm movements in children,https://pureportal.coventry.ac.uk/en/publications/changes-in-joint-kinematics-and-dynamic-postural-stability-with-f,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Changes in joint kinematics and dynamic postural stability with free and restricted arm movements in children,https://pureportal.coventry.ac.uk/en/publications/changes-in-joint-kinematics-and-dynamic-postural-stability-with-f,"Hill, M.",https://pureportal.coventry.ac.uk/en/persons/mathew-hill
Comparative analysis of reported physical activity from leisure centres’ members versus the general population in Spain,https://pureportal.coventry.ac.uk/en/publications/comparative-analysis-of-reported-physical-activity-from-leisure-c,"Lopez Fernandez, J.",https://pureportal.coventry.ac.uk/en/persons/jorge-lopez-fernandez
Comparative analysis of reported physical activity from leisure centres’ members versus the general population in Spain,https://pureportal.coventry.ac.uk/en/publications/comparative-analysis-of-reported-physical-activity-from-leisure-c,"Horton, E.",https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton
Cross-cultural comparison of fundamental movement skills in 9- to 10- year old children from England and China,https://pureportal.coventry.ac.uk/en/publications/cross-cultural-comparison-of-fundamental-movement-skills-in-9-to-,"Ma, J.",https://pureportal.coventry.ac.uk/en/persons/jiani-ma-2
Cross-cultural comparison of fundamental movement skills in 9- to 10- year old children from England and China,https://pureportal.coventry.ac.uk/en/publications/cross-cultural-comparison-of-fundamental-movement-skills-in-9-to-,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Cross-cultural comparison of fundamental movement skills in 9- to 10- year old children from England and China,https://pureportal.coventry.ac.uk/en/publications/cross-cultural-comparison-of-fundamental-movement-skills-in-9-to-,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
Delivery Approaches Within Exercise Referral Schemes: A Survey of Current Practice in England,https://pureportal.coventry.ac.uk/en/publications/delivery-approaches-within-exercise-referral-schemes-a-survey-of-,"Rowley, N.",https://pureportal.coventry.ac.uk/en/persons/nikita-rowley
Delivery Approaches Within Exercise Referral Schemes: A Survey of Current Practice in England,https://pureportal.coventry.ac.uk/en/publications/delivery-approaches-within-exercise-referral-schemes-a-survey-of-,"Jimenez, A.",https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez
Delivery Approaches Within Exercise Referral Schemes: A Survey of Current Practice in England,https://pureportal.coventry.ac.uk/en/publications/delivery-approaches-within-exercise-referral-schemes-a-survey-of-,"Horton, E.",https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton
Developing Powerful Athletes Part 2: Practical Applications,https://pureportal.coventry.ac.uk/en/publications/developing-powerful-athletes-part-2-practical-applications,"Mundy, P.",https://pureportal.coventry.ac.uk/en/persons/peter-mundy
Does Resisted Sled Towing Improve the Physical Qualities of Elite Youth Soccer Players of Differing Maturity Status?,https://pureportal.coventry.ac.uk/en/publications/does-resisted-sled-towing-improve-the-physical-qualities-of-elite,"Morris, R.",https://pureportal.coventry.ac.uk/en/persons/rhys-morris
Dose response effects of the BWF Shuttle Time Programme on children’s actual and perceived fundamental movement skill competence,https://pureportal.coventry.ac.uk/en/publications/dose-response-effects-of-the-bwf-shuttle-time-programme-on-childr,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Dose response effects of the BWF Shuttle Time Programme on children’s actual and perceived fundamental movement skill competence,https://pureportal.coventry.ac.uk/en/publications/dose-response-effects-of-the-bwf-shuttle-time-programme-on-childr,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon
Dose response effects of the BWF Shuttle Time Programme on children’s actual and perceived fundamental movement skill competence,https://pureportal.coventry.ac.uk/en/publications/dose-response-effects-of-the-bwf-shuttle-time-programme-on-childr,"Clark, C.",https://pureportal.coventry.ac.uk/en/persons/cain-clark
Dose response effects of the BWF Shuttle Time Programme on children’s actual and perceived fundamental movement skill competence,https://pureportal.coventry.ac.uk/en/publications/dose-response-effects-of-the-bwf-shuttle-time-programme-on-childr,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
"Effectiveness of Structured Physical Activity Interventions Through the Evaluation of Physical Activity Levels, Adoption, Retention, Maintenance, and Adherence Rates: A Systematic Review and Meta-Analysis",https://pureportal.coventry.ac.uk/en/publications/effectiveness-of-structured-physical-activity-interventions-throu,"Willinger, N.",https://pureportal.coventry.ac.uk/en/persons/nadja-willinger
"Effectiveness of Structured Physical Activity Interventions Through the Evaluation of Physical Activity Levels, Adoption, Retention, Maintenance, and Adherence Rates: A Systematic Review and Meta-Analysis",https://pureportal.coventry.ac.uk/en/publications/effectiveness-of-structured-physical-activity-interventions-throu,"Jimenez, A.",https://pureportal.coventry.ac.uk/en/persons/alfonso-jimenez
"Effectiveness of Structured Physical Activity Interventions Through the Evaluation of Physical Activity Levels, Adoption, Retention, Maintenance, and Adherence Rates: A Systematic Review and Meta-Analysis",https://pureportal.coventry.ac.uk/en/publications/effectiveness-of-structured-physical-activity-interventions-throu,"Horton, E.",https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton
Effect of Barbell Load on Vertical Jump Landing Force-Time Characteristics,https://pureportal.coventry.ac.uk/en/publications/effect-of-barbell-load-on-vertical-jump-landing-force-time-charac,"Mundy, P. D.",https://pureportal.coventry.ac.uk/en/persons/peter-mundy
Effect of sex and fatigue on quiet standing and dynamic balance and lower extremity muscle stiffness,https://pureportal.coventry.ac.uk/en/publications/effect-of-sex-and-fatigue-on-quiet-standing-and-dynamic-balance-a,"Hill, M.",https://pureportal.coventry.ac.uk/en/persons/mathew-hill
Effect of sex and fatigue on quiet standing and dynamic balance and lower extremity muscle stiffness,https://pureportal.coventry.ac.uk/en/publications/effect-of-sex-and-fatigue-on-quiet-standing-and-dynamic-balance-a,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski
Enhancing the implementation and sustainability of fundamental movement skill interventions in the UK and Ireland: lessons from collective intelligence engagement with stakeholders,https://pureportal.coventry.ac.uk/en/publications/enhancing-the-implementation-and-sustainability-of-fundamental-mo,"Ma, J.",https://pureportal.coventry.ac.uk/en/persons/jiani-ma-2
Enhancing the implementation and sustainability of fundamental movement skill interventions in the UK and Ireland: lessons from collective intelligence engagement with stakeholders,https://pureportal.coventry.ac.uk/en/publications/enhancing-the-implementation-and-sustainability-of-fundamental-mo,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
Enhancing the implementation and sustainability of fundamental movement skill interventions in the UK and Ireland: lessons from collective intelligence engagement with stakeholders,https://pureportal.coventry.ac.uk/en/publications/enhancing-the-implementation-and-sustainability-of-fundamental-mo,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Fundamental Movement Skill Proficiency Among British Primary School Children: Analysis at a Behavioral Component Level,https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skill-proficiency-among-british-primary-scho,"Eyre, E. L. J.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
Fundamental Movement Skill Proficiency Among British Primary School Children: Analysis at a Behavioral Component Level,https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skill-proficiency-among-british-primary-scho,"Tallis, J.",https://pureportal.coventry.ac.uk/en/persons/jason-tallis
Fundamental Movement Skill Proficiency Among British Primary School Children: Analysis at a Behavioral Component Level,https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skill-proficiency-among-british-primary-scho,"Duncan, M. J.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
"Fundamental movement skills and perceived competence, but not fitness, are the key factors associated with technical skill performance in boys who play grassroots soccer",https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-and-perceived-competence-but-not-fitn,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
"Fundamental movement skills and perceived competence, but not fitness, are the key factors associated with technical skill performance in boys who play grassroots soccer",https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-and-perceived-competence-but-not-fitn,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
"Fundamental movement skills and perceived competence, but not fitness, are the key factors associated with technical skill performance in boys who play grassroots soccer",https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-and-perceived-competence-but-not-fitn,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon
"Fundamental movement skills and perceived competence, but not fitness, are the key factors associated with technical skill performance in boys who play grassroots soccer",https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-and-perceived-competence-but-not-fitn,"Morris, R.",https://pureportal.coventry.ac.uk/en/persons/rhys-morris
"Fundamental movement skills and perceived competence, but not fitness, are the key factors associated with technical skill performance in boys who play grassroots soccer",https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-and-perceived-competence-but-not-fitn,"Thake, C. D.",https://pureportal.coventry.ac.uk/en/persons/doug-thake
"Fundamental movement skills and perceived competence, but not fitness, are the key factors associated with technical skill performance in boys who play grassroots soccer",https://pureportal.coventry.ac.uk/en/publications/fundamental-movement-skills-and-perceived-competence-but-not-fitn,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
Habitual Caffeine Consumption Does Not Affect the Ergogenicity of Coffee Ingestion During a 5 km Cycling Time Trial,https://pureportal.coventry.ac.uk/en/publications/habitual-caffeine-consumption-does-not-affect-the-ergogenicity-of,"Clarke, N. D.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
Histone mRNA is subject to 3’ uridylation and re-adenylation in Aspergillus nidulans,https://pureportal.coventry.ac.uk/en/publications/histone-mrna-is-subject-to-3-uridylation-and-re-adenylation-in-as,"Morozov, I.",https://pureportal.coventry.ac.uk/en/persons/igor-morozov
Identifying actual and perceived motor competence based profiles among children,https://pureportal.coventry.ac.uk/en/publications/identifying-actual-and-perceived-motor-competence-based-profiles-,"Eyre, E. L. J.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
Identifying actual and perceived motor competence based profiles among children,https://pureportal.coventry.ac.uk/en/publications/identifying-actual-and-perceived-motor-competence-based-profiles-,"Tallis, J.",https://pureportal.coventry.ac.uk/en/persons/jason-tallis
Identifying actual and perceived motor competence based profiles among children,https://pureportal.coventry.ac.uk/en/publications/identifying-actual-and-perceived-motor-competence-based-profiles-,"Watts, M.",https://pureportal.coventry.ac.uk/en/persons/matt-watts
Identifying actual and perceived motor competence based profiles among children,https://pureportal.coventry.ac.uk/en/publications/identifying-actual-and-perceived-motor-competence-based-profiles-,"Duncan, M. J.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
It’s Not Just What You Do but the Way You Do It: A Systematic Review of Process Evaluation of Interventions to Improve Gross Motor Competence,https://pureportal.coventry.ac.uk/en/publications/its-not-just-what-you-do-but-the-way-you-do-it-a-systematic-revie,"Ma, J.",https://pureportal.coventry.ac.uk/en/persons/jiani-ma-2
It’s Not Just What You Do but the Way You Do It: A Systematic Review of Process Evaluation of Interventions to Improve Gross Motor Competence,https://pureportal.coventry.ac.uk/en/publications/its-not-just-what-you-do-but-the-way-you-do-it-a-systematic-revie,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
It’s Not Just What You Do but the Way You Do It: A Systematic Review of Process Evaluation of Interventions to Improve Gross Motor Competence,https://pureportal.coventry.ac.uk/en/publications/its-not-just-what-you-do-but-the-way-you-do-it-a-systematic-revie,"Essiet, I.",https://pureportal.coventry.ac.uk/en/persons/inimfon-essiet
It’s Not Just What You Do but the Way You Do It: A Systematic Review of Process Evaluation of Interventions to Improve Gross Motor Competence,https://pureportal.coventry.ac.uk/en/publications/its-not-just-what-you-do-but-the-way-you-do-it-a-systematic-revie,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
"Life after lockdown: The role of sport, exercise and physical activity in ameliorating the mental health implications of COVID-19 restrictions",https://pureportal.coventry.ac.uk/en/publications/life-after-lockdown-the-role-of-sport-exercise-and-physical-activ,"Clarke, N. D.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
"Life after lockdown: The role of sport, exercise and physical activity in ameliorating the mental health implications of COVID-19 restrictions",https://pureportal.coventry.ac.uk/en/publications/life-after-lockdown-the-role-of-sport-exercise-and-physical-activ,"Broom, D. R.",https://pureportal.coventry.ac.uk/en/persons/david-broom
"Life after lockdown: The role of sport, exercise and physical activity in ameliorating the mental health implications of COVID-19 restrictions",https://pureportal.coventry.ac.uk/en/publications/life-after-lockdown-the-role-of-sport-exercise-and-physical-activ,"Tallis, J.",https://pureportal.coventry.ac.uk/en/persons/jason-tallis
"Life after lockdown: The role of sport, exercise and physical activity in ameliorating the mental health implications of COVID-19 restrictions",https://pureportal.coventry.ac.uk/en/publications/life-after-lockdown-the-role-of-sport-exercise-and-physical-activ,"Duncan, M. J.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
No Independent or Synergistic Effects of Carbohydrate-Caffeine Mouth Rinse on Repeated Sprint Performance during Simulated Soccer Match Play in Male Recreational Soccer Players,https://pureportal.coventry.ac.uk/en/publications/no-independent-or-synergistic-effects-of-carbohydrate-caffeine-mo,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
Optimal Loading for Force Production in the Straight Bar Deadlift: Force-Time Characteristics in Strength-Trained Adults,https://pureportal.coventry.ac.uk/en/publications/optimal-loading-for-force-production-in-the-straight-bar-deadlift,"Mundy, P.",https://pureportal.coventry.ac.uk/en/persons/peter-mundy
Optimal Loading for Force Production in the Straight Bar Deadlift: Force-Time Characteristics in Strength-Trained Adults,https://pureportal.coventry.ac.uk/en/publications/optimal-loading-for-force-production-in-the-straight-bar-deadlift,"Duncan, M. J.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Physical profiling of international cricket players: an investigation between bowlers and batters ,https://pureportal.coventry.ac.uk/en/publications/physical-profiling-of-international-cricket-players-an-investigat,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
Predicting Children’s Energy Expenditure during Physical Activity using Deep Learning and Wearable Sensor Data,https://pureportal.coventry.ac.uk/en/publications/predicting-childrens-energy-expenditure-during-physical-activity-,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Predicting Children’s Energy Expenditure during Physical Activity using Deep Learning and Wearable Sensor Data,https://pureportal.coventry.ac.uk/en/publications/predicting-childrens-energy-expenditure-during-physical-activity-,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
Predicting Children’s Energy Expenditure during Physical Activity using Deep Learning and Wearable Sensor Data,https://pureportal.coventry.ac.uk/en/publications/predicting-childrens-energy-expenditure-during-physical-activity-,"Jing, Y.",https://pureportal.coventry.ac.uk/en/persons/yanguo-jing
"Pre-schoolers fundamental movement skills predict BMI, physical activity, and sedentary behavior: A longitudinal study",https://pureportal.coventry.ac.uk/en/publications/pre-schoolers-fundamental-movement-skills-predict-bmi-physical-ac,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
"Pre-schoolers fundamental movement skills predict BMI, physical activity, and sedentary behavior: A longitudinal study",https://pureportal.coventry.ac.uk/en/publications/pre-schoolers-fundamental-movement-skills-predict-bmi-physical-ac,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
"Pre-schoolers fundamental movement skills predict BMI, physical activity, and sedentary behavior: A longitudinal study",https://pureportal.coventry.ac.uk/en/publications/pre-schoolers-fundamental-movement-skills-predict-bmi-physical-ac,"James, R.",https://pureportal.coventry.ac.uk/en/persons/rob-james
Prevalence and factors related to urinary incontinence in older adults women worldwide: a comprehensive systematic review and meta-analysis of observational studies,https://pureportal.coventry.ac.uk/en/publications/prevalence-and-factors-related-to-urinary-incontinence-in-older-a,"Bokaee, S.",https://pureportal.coventry.ac.uk/en/persons/shadi-bokaee
Rationalizing teacher roles in developing and assessing physical literacy in children,https://pureportal.coventry.ac.uk/en/publications/rationalizing-teacher-roles-in-developing-and-assessing-physical-,"Essiet, I.",https://pureportal.coventry.ac.uk/en/persons/inimfon-essiet
Rationalizing teacher roles in developing and assessing physical literacy in children,https://pureportal.coventry.ac.uk/en/publications/rationalizing-teacher-roles-in-developing-and-assessing-physical-,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Rationalizing teacher roles in developing and assessing physical literacy in children,https://pureportal.coventry.ac.uk/en/publications/rationalizing-teacher-roles-in-developing-and-assessing-physical-,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
Skin anisotropy: Finding the optimal incision line for volar forearm in males and females,https://pureportal.coventry.ac.uk/en/publications/skin-anisotropy-finding-the-optimal-incision-line-for-volar-forea,"Hill, M.",https://pureportal.coventry.ac.uk/en/persons/mathew-hill
Skin anisotropy: Finding the optimal incision line for volar forearm in males and females,https://pureportal.coventry.ac.uk/en/publications/skin-anisotropy-finding-the-optimal-incision-line-for-volar-forea,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski
Stepping Into Salsa Culture: An Experiential Account of Engaging With a University Non-Credit Dance Programme,https://pureportal.coventry.ac.uk/en/publications/stepping-into-salsa-culture-an-experiential-account-of-engaging-w,"Domene, P.",https://pureportal.coventry.ac.uk/en/persons/pablo-domene
Stepping Into Salsa Culture: An Experiential Account of Engaging With a University Non-Credit Dance Programme,https://pureportal.coventry.ac.uk/en/publications/stepping-into-salsa-culture-an-experiential-account-of-engaging-w,"Morley, S.",https://pureportal.coventry.ac.uk/en/persons/sheriden-morley-2
Strength and Conditioning Practices and Perspectives of Volleyball Coaches and Players,https://pureportal.coventry.ac.uk/en/publications/strength-and-conditioning-practices-and-perspectives-of-volleybal,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Strength and Conditioning Practices and Perspectives of Volleyball Coaches and Players,https://pureportal.coventry.ac.uk/en/publications/strength-and-conditioning-practices-and-perspectives-of-volleybal,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
Test-retest reliability of soccer dribbling tests in children,https://pureportal.coventry.ac.uk/en/publications/test-retest-reliability-of-soccer-dribbling-tests-in-children,"Duncan, M.",https://pureportal.coventry.ac.uk/en/persons/michael-duncan
Test-retest reliability of soccer dribbling tests in children,https://pureportal.coventry.ac.uk/en/publications/test-retest-reliability-of-soccer-dribbling-tests-in-children,"Morris, R.",https://pureportal.coventry.ac.uk/en/persons/rhys-morris
Test-retest reliability of soccer dribbling tests in children,https://pureportal.coventry.ac.uk/en/publications/test-retest-reliability-of-soccer-dribbling-tests-in-children,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
Test-retest reliability of soccer dribbling tests in children,https://pureportal.coventry.ac.uk/en/publications/test-retest-reliability-of-soccer-dribbling-tests-in-children,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
The determination of the lower critical concentration temperature and intrinsic viscosity: The syneresis reaction of polymeric gels,https://pureportal.coventry.ac.uk/en/publications/the-determination-of-the-lower-critical-concentration-temperature,"Munialo, C. D.",https://pureportal.coventry.ac.uk/en/persons/claire-munialo
The dose–response relationship between training-load measures and aerobic fitness in elite academy soccer players,https://pureportal.coventry.ac.uk/en/publications/the-doseresponse-relationship-between-training-load-measures-and-,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon
The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,"Wdowski, M.",https://pureportal.coventry.ac.uk/en/persons/maximilian-wdowski
The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,"Clarke, N.",https://pureportal.coventry.ac.uk/en/persons/neil-clarke
The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,"Eyre, E.",https://pureportal.coventry.ac.uk/en/persons/emma-eyre
The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,"Morris, R.",https://pureportal.coventry.ac.uk/en/persons/rhys-morris
The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,"Noon, M.",https://pureportal.coventry.ac.uk/en/persons/mark-noon
The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,"Eustace, S.",https://pureportal.coventry.ac.uk/en/persons/steven-eustace
The effect of fatigue on first stance phase kinetics during acceleration sprint running in professional football players,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-fatigue-on-first-stance-phase-kinetics-during-accel,"Hankey, J.",https://pureportal.coventry.ac.uk/en/persons/jo-hankey
The effects of high adiposity on concentric and eccentric muscle performance of upper and lower limb musculature in young and older adults,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-high-adiposity-on-concentric-and-eccentric-muscle-,"Shelley, S.",https://pureportal.coventry.ac.uk/en/persons/sharn-shelley
The effects of high adiposity on concentric and eccentric muscle performance of upper and lower limb musculature in young and older adults,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-high-adiposity-on-concentric-and-eccentric-muscle-,"James, R.",https://pureportal.coventry.ac.uk/en/persons/rob-james
